account_id,name,date,amount,new_balance,transaction_type
8,Withdrawal,2025-04-07 00:00:00,131.15,3003.31,withdrawal
5,Transfer,2025-03-04 00:00:00,317.11,2835.26,transfer
8,Deposit,2025-04-02 00:00:00,150.01,3153.32,deposit
5,Withdrawal,2025-02-10 00:00:00,447.58,2387.68,withdrawal
2,Deposit,2025-01-20 00:00:00,123.32,3698.43,deposit
3,Transfer,2025-01-28 00:00:00,41.47,3237.68,transfer
6,Transfer,2025-03-01 00:00:00,213.73,2084.44,transfer
7,Withdrawal,2025-04-09 00:00:00,296.2,2852.13,withdrawal
1,Transfer,2025-02-18 00:00:00,243.72,-135.6,transfer
5,Withdrawal,2025-02-23 00:00:00,273.73,2113.95,withdrawal
9,Transfer,2025-01-29 00:00:00,249.23,2704.61,transfer
7,Withdrawal,2025-01-04 00:00:00,200.54,2895.31,withdrawal
7,Transfer,2025-01-22 00:00:00,421.85,2473.46,transfer
10,Transfer,2025-01-04 00:00:00,454.4,1242.18,transfer
2,Transfer,2025-02-24 00:00:00,76.49,3621.94,transfer
3,Deposit,2025-02-03 00:00:00,195.76,3855.29,deposit
4,Withdrawal,2025-02-11 00:00:00,175.38,2367.02,withdrawal
7,Withdrawal,2025-04-07 00:00:00,476.09,1997.37,withdrawal
7,Withdrawal,2025-01-11 00:00:00,240.45,1756.92,withdrawal
9,Deposit,2025-02-14 00:00:00,119.87,2900.97,deposit
2,Transfer,2025-01-06 00:00:00,379.57,3242.37,transfer
4,Deposit,2025-03-21 00:00:00,84.67,2451.69,deposit
3,Withdrawal,2025-03-27 00:00:00,66.05,3789.24,withdrawal
4,Withdrawal,2025-03-31 00:00:00,135.56,2316.13,withdrawal
6,Deposit,2025-03-19 00:00:00,307.55,2391.99,deposit
2,Deposit,2025-02-09 00:00:00,62.97,3305.34,deposit
1,Withdrawal,2025-03-15 00:00:00,341.9,-23.1,withdrawal
7,Withdrawal,2025-04-02 00:00:00,107.18,1649.74,withdrawal
10,Transfer,2025-03-22 00:00:00,129.0,1113.18,transfer
10,Deposit,2025-04-12 00:00:00,492.08,1605.26,deposit
1,Withdrawal,2025-03-10 00:00:00,219.91,-243.01,withdrawal
6,Deposit,2025-03-06 00:00:00,327.3,2719.29,deposit
1,Withdrawal,2025-03-04 00:00:00,61.71,-304.72,withdrawal
6,Transfer,2025-02-28 00:00:00,356.58,2362.71,transfer
3,Transfer,2025-03-08 00:00:00,483.08,3306.16,transfer
10,Transfer,2025-04-10 00:00:00,246.91,1358.35,transfer
10,Withdrawal,2025-02-11 00:00:00,427.34,931.01,withdrawal
2,Withdrawal,2025-02-27 00:00:00,129.49,3175.85,withdrawal
8,Transfer,2025-03-20 00:00:00,337.41,3213.96,transfer
1,Withdrawal,2025-02-11 00:00:00,99.1,-403.82,withdrawal
4,Withdrawal,2025-04-13 00:00:00,136.59,2179.54,withdrawal
